speciesID,taxonomicOrder,alphaCode,commonName,scientificName,femaleMass_min_g,femaleMass_max_g,maleMass_min_g,maleMass_max_g,femaleWingChord_min_mm,femaleWingChord_max_mm,maleWingChord_min_mm,maleWingChord_max_mm,femaleTailLength_min_mm,femaleTailLength_max_mm,maleTailLength_min_mm,maleTailLength_max_mm,bandSize
8531,143,FAPR,Fairy Prion,Pachyptila turtur,0,0,0,0,0,0,0,0,0,0,0,0,3
8532,136,ANPE,Antarctic Petrel,Thalassoica antarctica,0,0,0,0,0,0,0,0,0,0,0,0,5
8533,158,WCPE,White-chinned Petrel,Procellaria aequinoctialis,0,0,0,0,0,0,0,0,0,0,0,0,"7A, 6, 5A, 5"
8536,144,KEPE,Kerguelen Petrel,Aphrodroma brevirostris,0,0,0,0,0,0,0,0,0,0,0,0,4
8537,138,SNPE,Snow Petrel,Pagodroma nivea,0,0,0,0,0,0,0,0,0,0,0,0,4
8538,177,GBSP,Gray-backed Storm-Petrel,Garrodia nereis,0,0,0,0,0,0,0,0,0,0,0,0,"1B, 1A"
8541,208,BECO,Blue-eyed Cormorant,Leucocarbo atriceps,0,0,0,0,0,0,0,0,0,0,0,0,"8, 7D"
8543,314,SNSH,Snowy Sheathbill,Chionis albus,0,0,0,0,0,0,0,0,0,0,0,0,"7A, 6"
8544,315,LESH,Lesser Sheathbill,Chionis minor,0,0,0,0,0,0,0,0,0,0,0,0,7A
8546,430,KEGU,Kelp Gull,Larus dominicanus,0,0,0,0,0,0,0,0,0,0,0,0,"7A, 7, 7B"
8548,455,ANTE,Antarctic Tern,Sterna vittata,0,0,0,0,0,0,0,0,0,0,0,0,"3, 3B"
8549,456,KETE,Kerguelen Tern,Sterna virgata,0,0,0,0,0,0,0,0,0,0,0,0,3
8552,374,HYSK,Hybrid Skua,,0,0,0,0,0,0,0,0,0,0,0,0,"7B, 7A"
8553,126,NGPE,Northern Giant-Petrel,Macronectes halli,0,0,0,0,0,0,0,0,0,0,0,0,8
8554,373,BRSK,Brown Skua,Stercorarius antarcticus,0,0,0,0,0,0,0,0,0,0,0,0,"7B, 7A"
8560,733,TIMO,Tinian Monarch,Monarcha takatsukasae,0,0,0,0,0,0,0,0,0,0,0,0,"0, 1C"
8570,749,MARC,Mariana Crow,Corvus kubaryi,0,0,0,0,0,0,0,0,0,0,0,0,"4, 4A"
8580,543,GUSW,Guam Swiftlet,Aerodramus bartschi,0,0,0,0,0,0,0,0,0,0,0,0,"0A, X"
8590,833,NIRW,Nightingale Reed Warbler,Acrocephalus luscinius,0,0,0,0,0,0,0,0,0,0,0,0,"1A, 1D"
8600,89,MIME,Micronesian Megapode,Megapodius laperouse,0,0,0,0,0,0,0,0,0,0,0,0,6
8610,542,WRSW,White-rumped Swiftlet,Aerodramus spodiopygius,0,0,0,0,0,0,0,0,0,0,0,0,"0, 1, 1C"
8620,483,PCFD,Purple-capped Fruit Dove,Ptilinopus porphyraceus,0,0,0,0,0,0,0,0,0,0,0,0,"3A, 4"
8630,582,COLK,Collared Kingfisher,Todiramphus chloris,0,0,0,0,0,0,0,0,0,0,0,0,"2, 3, 3B"
8640,894,SAST,Samoan Starling,Aplonis atrifusca,0,0,0,0,0,0,0,0,0,0,0,0,"M: 3B, 3A, 4"
8650,893,POST,Polynesian Starling,Aplonis tabuensis,0,0,0,0,0,0,0,0,0,0,0,0,"M: 2, 3"
8660,704,CAHO,Cardinal Honeyeater,Myzomela cardinalis,0,0,0,0,0,0,0,0,0,0,0,0,"1, 1C, 0"
8670,705,WAHO,Wattled Honeyeater,Foulehaio carunculatus,0,0,0,0,0,0,0,0,0,0,0,0,"1A, 1D, 2"
8680,706,MIMY,Micronesian Myzomela,Myzomela rubratra,0,0,0,0,0,0,0,0,0,0,0,0,"1, 1B"
8690,731,RUFA,Rufous Fantail,Rhipidura rufifrons,0,0,0,0,0,0,0,0,0,0,0,0,"0A, 0"
8691,732,FISH,Fiji Shrikebill,Clytorhynchus vitiensis,0,0,0,0,0,0,0,0,0,0,0,0,"1A, 1B"
