Year,NestID,Date,PlotID,Time,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShells,AdultBroody,BroodSeen,FailureCause,Comments,Egg1Float,Egg1Surfaced,Egg1mm,Egg2Float,Egg2Surfaced,Egg2mm,Egg3Float,Egg3Surfaced,Egg3mm,Egg4Float,Egg4Surfaced,Egg4mm,,,,,,,,,,,,,,
2023,T-03,6/27/2023,37 MI,14:15,64.85123,-166.08031,,5,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"6XH on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/18/2023,37 MI,10:08,64.85123,-166.08031,,6,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"1NL on nest, no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/19/2023,37 MI,11:20,64.85123,-166.08031,,7,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"1 egg starring, 3 eggs no cracks",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/21/2023,37 MI,11:02,64.85123,-166.08031,,8,Incubating,Y,4,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,1 egg with cracks,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/22/2023,37 MI,10:45,64.85123,-166.08031,,9,Incubating,Y,3,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,Removed 1 egg for captive experiment,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/23/2023,37 MI,8:27,64.85123,-166.08031,,10,Incubating,Y,3,,1NL,FEDG,6XH,FELG,5/28/2023,,,,,,,,,,"1 egg hatching, 1 egg pipped, 6XH on nest",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,T-03,6/24/2023,37 MI,9:58,64.85123,-166.08031,,11,Hatched,Y,0,1,1NL,FEDG,6XH,FELG,5/28/2023,Intact,N,N,N,None,None,Y,Y,,Located 1 chick away from the nest,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,ALL-01,6/5/2023,34 MI,,64.82364,-166.03580,,1,Laying,Y,1,,1PC,FEDG,1NA,FEDG,6/4/2023,,,,,,,,,,Found by observation,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,ALL-01,6/16/2023,34 MI,15:15,64.82364,-166.03580,,2,Incubating,Y,4,,1PC,FEDG,1NA,FEDG,6/4/2023,,,,,,,,,,Caught 1PC (male),,,,,,,,,,,,,,,,,,,,,,,,,,
2023,ALL-01,6/17/2023,34 MI,9:45,64.82364,-166.03580,,3,Incubating,Y,4,,1PC,FEDG,1NA,FEDG,6/4/2023,,,,,,,,,,Failed to catch female,,,,,,,,,,,,,,,,,,,,,,,,,,
