Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,6/30/2023,Alaska,Nome,34 MI,64.81328,-165.95722,R,1MJ,FEDG,1MJ,FEDG,AHY,,RADIO,,Retained,,TOortwijn,
2023,6/30/2023,Alaska,Nome,Steven,64.84439,-166.01918,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/1/2023,Alaska,Nome,Feather,64.84123,-165.95923,R,1PH,FEDG,1PH,FEDG,AHY,,RADIO,,Retained,,TOortwijn,
2023,7/1/2023,Alaska,Nome,34 MI,64.82364,-166.03580,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,37 MI,64.85007,-166.09128,R,1KU,FEDG,1KU,FEDG,AHY,,,,,,TOortwijn,
2023,7/2/2023,Alaska,Nome,37 MI,64.85502,-166.07948,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,37 MI,64.84129,-166.08717,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,37 MI,64.84535,-166.08385,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,37 MI,64.85284,-166.08928,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,37 MI,64.84269,-166.08393,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/2/2023,Alaska,Nome,Tombstone,64.94117,-166.20730,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/3/2023,Alaska,Nome,Feather,64.84146,-165.95891,R,1NN,FEDG,1NN,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,7/3/2023,Alaska,Nome,Steven,64.84951,-166.00195,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/4/2023,Alaska,Nome,34 MI,64.82364,-166.03580,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/4/2023,Alaska,Nome,34 MI,64.82384,-166.04020,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/5/2023,Alaska,Nome,37 MI,64.84563,-166.08494,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,7/5/2023,Alaska,Nome,37 MI,64.84035,-166.07830,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1383, Attending brood"
2023,7/5/2023,Alaska,Nome,37 MI,64.83983,-166.08142,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1387, Attending brood"
2023,7/5/2023,Alaska,Nome,37 MI,64.84211,-166.08388,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1373, Attending brood"
2023,7/5/2023,Alaska,Nome,37 MI,64.84147,-166.07942,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1378, 1380, Attending brood"
2023,7/5/2023,Alaska,Nome,37 MI,64.84064,-166.08140,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/5/2023,Alaska,Nome,Tombstone,64.93842,-166.21052,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/6/2023,Alaska,Nome,Feather,64.85706,-165.94743,C,1PN,FEDG,1PN,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,7/6/2023,Alaska,Nome,Steven,64.84868,-166.00445,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/6/2023,Alaska,Nome,Feather,64.84224,-165.94943,R,1NN,FEDG,1NN,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/7/2023,Alaska,Nome,34 MI,64.81574,-165.99583,R,1MN,FEDG,1MN,FEDG,AHY,,RADIO,,Replaced,,TOortwijn,
2023,7/7/2023,Alaska,Nome,34 MI,64.81538,-165.92691,R,1PP,FEDG,1PP,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,7/7/2023,Alaska,Nome,34 MI,64.81614,-165.93060,C,1PT,FEDG,1PT,FEDG,AHY,,RADIO,,New,,TOortwijn,
2023,7/7/2023,Alaska,Nome,34 MI,64.82379,-166.03838,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
