Year,StateProvince,City,PlotName,Latitude_dec,Longitude_dec,Date,CaptureTime_2400,SpeciesCode,BanderID,ScribeID,BandSize,BandNumberIn,FlagColorIn,FlagCodeIn,ULIn,LLIn,URIn,LRIn,BandNumberOut,FlagColorOut,FlagCodeOut,ULOut,LLOut,UROut,LROut,TagType1,TagStatus1,TagID1,TagType2,TagStatus2,TagID2,BBLDisposition,BBLStatus,BBLCondition,Age,HowAged,FieldSex,CHDSex,HowSexed,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,Tarsus_mm,Wing_mm,P10_mm,P10Exposed_mm,FatScore,Mass_g,CaptureMethod,NestID,BroodID,ChickAgeType,EstHatchDate,ChickAge_d,Feather,FeatherType1,FeatherType2,Blood,BloodFilter,BloodIsotope,Fecal,Notes
2023,Alaska,Nome,37 MI,64.85123,-166.08031,6/11/2023,13:10,REKN,TOortwijn,JvanGils,2,122274343,Lg,6XH,Flag,,Wh,,129232179,Lg,6XH,Flag,,Wh,X,,,,,,,R,319,7,ATY,PL,F,,BO,34.7,6.4,3.2,27.3,66.7,33.4,175,,,,126,MN,T03,1CX,,,,Y,PC6,body,Y,,Y,Y,"Missing metal at capture, missing nail on left outer toe"
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/12/2023,14:00,REKN,TOortwijn,JvanGils,2,129231737,Dg,1HU,Flag,,Yl,,129232181,Dg,1HU,Flag,,Yl,X,,,,,,,R,319,7,ATY,PL,F,,BO,36.9,6.3,4.6,29,68.6,32.9,179,,,,136,MN,J01,1NL,,,,Y,PC6,body,Y,,Y,Y,Missing metal at capture
2023,Alaska,Nome,34 MI,64.81762,-166.00618,6/20/2023,12:25,REKN,TOortwijn,KHunt,2,129231717,Dg,1EP,Flag,,Yl,,129232187,Dg,1EP,Flag,,Yl,X,,,,,,,R,319,7,ATY,PL,F,,BO,34.6,6.1,3.9,26.6,66.6,34.9,180,,,,129,MN,A02,,,,,Y,PC6,body,Y,,Y,Y,"Missing metal at capture, plumage: 6, tarsus-toe: 61, swab: 1281, plasma: 1283, RBC: 1284, DNA: 1282"
2023,Alaska,Nome,37 MI,64.84544,-166.08525,5/23/2023,13:40,REKN,TOortwijn,JvanGils,2,142220901,Dg,1MP,Flag,,Dg,X,142220901,Dg,1MP,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,34,6.5,4.1,25.8,63.7,31.8,165,,,,130,WN,A01,1MP,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.903
2023,Alaska,Nome,37 MI,64.84298,-166.08182,6/10/2023,14:50,REKN,TOortwijn,KHunt,2,142220901,Dg,1MP,Flag,,Dg,X,142220901,Dg,1MP,Flag,,Dg,X,Radio,Retained,,,,,R,325,7,ATY,PL,M,,BO,,,,,,,,,,,112,WN,A01,1MP,,,,N,,,N,,,Y,Fecal: 1149
2023,Alaska,Nome,Barrel,64.70663,-165.76692,5/25/2023,20:20,REKN,TOortwijn,JvanGils,2,142220902,Dg,1MX,Flag,,Dg,X,142220902,Dg,1MX,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,35,6.4,3.8,25.8,65,33.6,175,,,,119,WN,,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.933
2023,Alaska,Nome,34 MI,64.82364,-166.0358,6/24/2023,12:54,REKN,TOortwijn,KHunt,2,142220903,Dg,1NA,Flag,,Dg,X,142220903,Dg,1NA,Flag,,Dg,X,,,,,,,R,319,7,ATY,PL,F,,BO,37.3,5.8,3.7,28.1,68.2,32.9,178,,,,128,MN,ALL01,1PC,,,,Y,PC6,body,Y,,Y,Y,"Plumage: 7, tarsus-toe: 60, plasma: 1303, RBC: 1304, DNA: 1305, fecal: 1306, swab: 1307"
2023,Alaska,Nome,37 MI,64.84751,-166.08745,6/11/2023,16:50,REKN,TOortwijn,JvanGils,2,142220904,Dg,1NC,Flag,,Dg,X,142220904,Dg,1NC,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,F,,BO,37,6,3.8,28.3,69.2,34,177,,,,131,WN,T02,1MT,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.733
2023,Alaska,Nome,37 MI,64.84624,-166.0799,6/10/2023,16:10,REKN,TOortwijn,JvanGils,2,142220905,Dg,1NE,Flag,,Dg,X,142220905,Dg,1NE,Flag,,Dg,X,,,,,,,R,319,7,ATY,PL,F,,BO,36,6.1,3.1,27.1,66.3,32.9,184,,,,139,MN,A01,1MP,,,,Y,PC6,body,Y,,Y,Y,
2023,Alaska,Nome,Tombstone,64.94366,-166.20688,5/24/2023,15:50,REKN,TOortwijn,JvanGils,2,142220907,Dg,1NJ,Flag,,Dg,X,142220907,Dg,1NJ,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,34.3,6.8,3.7,27,66,32.5,172,,,,126,WN,L01,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.192
